genus	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150	151	152	153	154	155	156	157	158	159	160	161	162	163	164	165	166	167	168	169	170	171	172	173	174	175	176	177	178	179	180	181	182	183	184	185	186	187	188	189	190	191	192	193	194	195	196	197	198	199	200	201	202	203	204	205	206	207	208	209	210	211	212	213
p__Actinobacteria;g__Actinomyces	1329	108	44	66	202	93	786	359	178	342	3	210	58	116	267	345	555	86	86	1257	46	92	444	166	518	453	3430	14	986	47	108	181	109	92	181	79	490	257	811	297	487	25	206	1	4754	769	97	79	278	74	116	23	120	453	149	824	61	28	29	63	15	981	64	98	14	383	201	256	193	156	46	148	59	349	32	161	19	73	97	58	1057	57	238	11	115	82	90	153	620	316	12	30	13	160	16	23	69	104	17	48	16	63	52	159	112	80	123	27	70	24	1243	47	19	64	39	254	29	556	213	63	138	83	31	110	343	36	319	403	31	104	1071	947	418	38	208	37	9	322	131	24	149	669	0	222	8	3	381	446	10	41	339	1626	91	4	11	108	66	1616	883	23	56	62	21	239	105	134	79	118	143	101	226	1	0	124	987	561	10	50	348	88	299	123	103	58	0	30	180	47	277	34	31	388	38	13	40	27	12	6	342	469	50	16	28	138	23	23	126	54	392	75	233	83	43
p__Actinobacteria;g__Actinomycetospora	0	0	1	0	9	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	5	0	6	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Actinoplanes	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	121	0	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Actinotalea	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Adlercreutzia	1104	2011	8511	2955	15325	3642	1308	12573	1243	17440	9	2877	9517	3049	3359	1664	10525	4871	6727	7833	2427	6883	1039	1349	24930	1604	26728	2907	7691	5553	4685	2988	9878	5744	7441	3355	5292	13524	16696	7543	6154	999	2556	1079	1815	2317	1931	3138	3477	1770	2053	1345	2223	15	2147	7	1865	759	1383	1500	18	177	5877	1173	469	3723	1895	2718	586	1348	983	3179	1134	7	476	636	7	1357	1014	830	6968	231	12	328	2049	1389	841	1313	2	20	778	2581	663	2832	2590	1457	295	1199	749	1185	1604	6695	1851	516	1643	2222	791	537	1267	944	1078	5491	495	2320	1217	1300	2491	77	17	3245	901	3969	2939	2968	1591	1300	2	2	1538	1737	1	4	2	1253	1698	2027	722	3014	2316	567	106	475	0	3221	6	6	832	761	730	1379	1	5	1904	910	93	753	729	4310	2	3755	1802	3663	593	4345	1556	684	4862	2561	3	273	3331	1035	69	6678	6	1	422	5	5805	1729	55	3052	2211	921	415	438	1829	1847	7	1436	1856	2303	514	1393	346	574	491	3540	1398	16	1825	1479	1246	1200	639	847	57	808	820	1557	1875	2105	3622
p__Actinobacteria;g__Aeromicrobium	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Agrococcus	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Agromyces	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Alloscardovia	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	5	0	1	6	0	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
p__Actinobacteria;g__Amycolatopsis	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
p__Actinobacteria;g__Arcanobacterium	0	0	0	0	0	3	7	3	1	0	66	2	0	0	5	1	0	2	1	3	3	0	0	2	0	0	11	0	24	0	0	2	0	2	0	1	0	0	3	0	2	0	3	0	0	0	0	0	0	0	0	0	3	6	4	0	0	0	0	0	18	7	0	3	0	0	1	0	0	0	0	0	0	15	0	2	0	1	0	0	0	1	4	1	0	1	0	0	5	9	3	0	0	0	0	0	0	1	0	3	0	2	0	1	0	5	3	0	0	0	1	0	0	2	1	1	0	10	6	0	2	9	1	0	2	0	1	3	0	0	3	7	16	0	0	1	0	0	0	1	204	43	0	0	27	0	0	0	0	0	1	6	1	1	10	1	1	45	8	0	9	3	0	1	4	5	4	1	1	0	4	0	0	3	16	3	0	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	3	2	0	0	1	0	2	0	3	28	0
p__Actinobacteria;g__Arsenicicoccus	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Arthrobacter	0	0	10	0	35	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	16	20	0	10	0	0	0	2	0	0	11	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	16	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	2	0	1	2	0	44	0	0	1	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	15	1	0	5	1	2	3	10	0	0	0	0	1	0	0	2	5	0	0	3	0	2	3	2	1	0	132	38	1	0	2	0	2	2	0	3	4	2	0	1	0	0	1	2	0	0	0	0	0	0	3	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	8	1	1	1	2	0	0
p__Actinobacteria;g__Atopobium	257	16	5	6	0	0	234	18	22	15	0	97	16	73	27	9	223	12	14	249	11	8	27	9	611	8	129	0	380	4	35	50	96	23	80	15	11	238	287	45	128	46	101	4	30	49	25	24	17	2	10	12	37	21	96	1512	6	8	0	7	461	2007	0	35	5	35	6	52	9	240	143	10	11	323	2	51	1	57	60	6	190	1	387	0	70	16	12	7	0	1	38	11	2	130	12	41	5	24	1	15	7	4	3	65	1	1046	2006	1	18	8	2	8	5	8	3	22	3	863	230	42	6	8	1	14	154	5	19	189	13	40	350	146	14	9	23	11	2	94	41	1	129	361	0	92	28	11	68	136	29	8	94	286	68	8	74	10	1	671	360	1	11	293	768	203	133	176	17	147	154	37	226	0	0	10	1075	170	1	29	41	35	316	29	29	388	0	24	61	11	104	3	4	96	18	1	4	1	2	1	169	607	8	16	13	74	10	6	11	18	69	11	75	52	90
p__Actinobacteria;g__Bifidobacterium	1230176	520218	427208	653259	661076	175253	28857	16394	66423	4988	725731	141145	1240	1710	9341	130	5119	491	44947	62278	24888	1122	1189	1028118	162512	105	150	49	16837	55255	1552	9535	80434	50724	44588	3803	44801	37292	6983	27237	65801	429	6315	178	671	11612	10997	13876	1768	379	1007	79	105	187	244140	461848	2441	326209	29167	1494	2584	642380	1060	717277	356	235	15360	435	33312	14207	26341	2225	10124	874483	256	183	17952	249	4128	181	429	42	473166	11580	207	105573	548	5740	336541	716686	330	896	155	231	102	275	1455	2674	58	73540	30967	205	3408	688363	180	545848	281980	268	1500	22283	572410	645	339	120	252	156	800	145855	200	165	10255	1520	380	57917	218	185041	512660	1159285	720	286	624260	696876	301620	58	16578	4407	45032	138855	162	130	127650	257973	497	443	574936	560130	234	242	69	178	721763	621950	408	962423	846705	16259	10935	1212853	1162568	345	658	765887	593364	442	516765	319735	955	623236	239563	611	362505	747454	946622	154	303164	316850	802	101007	37684	513959	435520	139	10009	270930	261171	367	433	8131	63108	198	144	75972	11352	2233	546680	316564	205	574	376198	654392	408	175	476161	711058	559	188	264427	124928	836	792	210731	545821	451
p__Actinobacteria;g__Brachybacterium	0	0	0	0	46	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	1	2	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
p__Actinobacteria;g__Brevibacterium	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	8
p__Actinobacteria;g__Catellatospora	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
